id,name,population,Province,autonomous_community,code,tripadvisor_name
1,Madrid,3266126,Madrid,Comunidad de Madrid,g187514,Madrid
2,Barcelona,1636762,Barcelona,Cataluña,g187497,Barcelona_Catalonia
3,Valencia,794288,Valencia,Comunidad Valenciana,,
4,Sevilla,688592,Sevilla,Andalucía,,
5,Zaragoza,674997,Zaragoza,Aragón,,
6,Málaga,574654,Málaga,Andalucía,,
7,Murcia,453258,Murcia,Región de Murcia,,
8,Palma,416065,Islas Baleares,Islas Baleares,,
9,Las Palmas de Gran Canaria,379925,Las Palmas,Canarias,,
10,Bilbao,346843,Vizcaya,País Vasco,,
11,Alicante,334887,Alicante,Comunidad Valenciana,,
12,Córdoba,325701,Córdoba,Andalucía,,
13,Valladolid,298412,Valladolid,Castilla y León,,
14,Vigo,295364,Pontevedra,Galicia,,
15,Gijón,271780,Asturias,Principado de Asturias,,
16,Hospitalet de Llobregat,264923,Barcelona,Cataluña,,
17,Vitoria,251774,Álava,País Vasco,,
18,La Coruña,245711,La Coruña,Galicia,,
19,Elche,232517,Alicante,Comunidad Valenciana,,
20,Granada,232462,Granada,Andalucía,,
21,Tarrasa,220556,Barcelona,Cataluña,,
22,Badalona,220440,Barcelona,Cataluña,,
23,Oviedo,219686,Asturias,Principado de Asturias,,
24,Cartagena,214802,Murcia,Región de Murcia,,
25,Sabadell,213644,Barcelona,Cataluña,,
26,Jerez de la Frontera,212749,Cádiz,Andalucía,,
27,Móstoles,209184,Madrid,Comunidad de Madrid,,
28,Santa Cruz de Tenerife,207312,Santa Cruz de Tenerife,Canarias,,
29,Pamplona,201653,Navarra,Navarra,,
30,Almería,198533,Almería,Andalucía,,
31,Alcalá de Henares,195649,Madrid,Comunidad de Madrid,,
32,Fuenlabrada,193700,Madrid,Comunidad de Madrid,,
33,Leganés,189861,Madrid,Comunidad de Madrid,,
34,San Sebastián,187415,Guipúzcoa,País Vasco,,
35,Getafe,183374,Madrid,Comunidad de Madrid,,
36,Burgos,175821,Burgos,Castilla y León,,
37,Albacete,173329,Albacete,Castilla-La Mancha,,
38,Santander,172539,Cantabria,Cantabria,,
39,Castellón de la Plana,171728,Castellón,Comunidad Valenciana,,
40,Alcorcón,170514,Madrid,Comunidad de Madrid,,
41,San Cristóbal de La Laguna,157503,Santa Cruz de Tenerife,Canarias,,
42,Logroño,151136,La Rioja,La Rioja,,
43,Badajoz,150702,Badajoz,Extremadura,,
44,Salamanca,144228,Salamanca,Castilla y León,g187493,Province_of_Salamanca_Castile_and_Leon
45,Huelva,143663,Huelva,Andalucía,,
46,Marbella,143386,Málaga,Andalucía,,
47,Lérida,138956,Lérida,Cataluña,,
48,Tarragona,134515,Tarragona,Cataluña,,
49,Dos Hermanas,133968,Sevilla,Andalucía,,
50,Torrejón de Ardoz,131376,Madrid,Comunidad de Madrid,,
51,Parla,130124,Madrid,Comunidad de Madrid,,
52,Mataró,128265,Barcelona,Cataluña,,
53,León,124303,León,Castilla y León,,
54,Algeciras,121957,Cádiz,Andalucía,,
55,Santa Coloma de Gramanet,119215,Barcelona,Cataluña,,
56,Alcobendas,117040,Madrid,Comunidad de Madrid,,
57,Cádiz,116027,Cádiz,Andalucía,,
58,Jaén,112999,Jaén,Andalucía,,
59,Orense,105233,Orense,Galicia,,
60,Reus,104373,Tarragona,Cataluña,,
61,Telde,102647,Las Palmas,Canarias,,
62,Gerona,101852,Gerona,Cataluña,,
63,Baracaldo,100881,Vizcaya,País Vasco,,
64,Segovia,,Segovia,Castilla y León,g187494,Province_of_Segovia_Castile_and_Leon
